,Name,College,Quality Score,Difficulty Score,GPA,Would Take Again,Number of Ratings,Number of Sections,Total Students
282,Meredith Davis,College of Design,3.5,3.0,2.5941350710900473,-1.0,2,10,844
283,Cymbre Raub,College of Design,2.5,2.0,3.3263666666666665,-1.0,2,12,600
284,Martha Scotford,College of Design,2.5,3.5,3.15417372881356,-1.0,4,16,472
285,Erik Schettig,College of Engineering,4.7,2.7,3.319187935034803,100.0,3,14,431
286,Niloufar Bayati,College of Design,5.0,2.4,3.1069421487603304,100.0,7,3,121
287,Nolan Fahrer,College of Education,4.0,2.2,3.486706766917292,100.0,5,46,1330
288,Justin Egresitz,College of Education,4.0,2.5,3.3090733590733583,100.0,2,9,259
289,Marissa Franzen,College of Education,5.0,3.0,3.2795357406042736,100.0,1,51,1357
290,Chris Boakye,College of Design,4.2,1.8,3.2221712538226295,80.0,5,7,327
291,Kevin Sutton,College of Design,4.9,2.7,3.424968474148803,100.0,11,65,1586
292,Steven Miller,College of Education,4.4,1.6,3.7132084534101817,84.6154,13,41,1041
293,Teena Coats,College of Design,3.3,2.8,3.203648208469055,75.0,4,12,614
294,Douglas Lecorchick,College of Design,3.4,2.7,3.44273381294964,58.3333,12,7,278
295,Donald O'Keefe,College of Design,1.0,3.5,3.099367088607595,0.0,2,2,79
296,Aaron Clark,College of Education,4.7,3.0,3.5885263157894736,100.0,15,27,570
297,Shelley Glimcher,College of Design,4.2,2.5,3.5577175463623396,50.0,6,11,701
298,Erik Ward,College of Design,2.5,4.0,3.1302994011976044,-1.0,1,16,501
299,Brian Matthews,College of Design,2.6,1.9,3.5668640054127203,38.8889,21,85,2956
300,Alice Scales,College of Design,4.8,2.4,3.309052369077307,-1.0,5,19,401
301,Johnny Crow,College of Design,4.4,1.5,3.708580441640378,-1.0,4,34,634
302,Liz Chen,College of Design,3.0,2.0,3.768392857142857,0.0,1,4,56
303,Amber Howard,College of Design,3.5,3.0,3.672083333333333,-1.0,2,9,144
304,Denise Crisp,College of Design,4.0,3.5,3.4609053497942384,100.0,2,24,486
305,Matthew Peterson,College of Humanities and Social Sciences,3.0,4.0,3.4745581395348832,100.0,2,11,215
306,Megan Hall,College of Humanities and Social Sciences,4.8,1.9,3.2702643171806165,100.0,12,37,681
307,Bryan Laffitte,College of Design,5.0,2.6,3.7968768768768775,100.0,5,38,666
308,Carla Delcambre,College of Design,4.5,2.0,3.788103448275862,87.5,8,15,232
309,Melissa Simpson,,4.7,1.1,3.4909127301841476,100.0,9,64,1249
310,Tracey Ray,College of Humanities and Social Sciences,2.0,4.0,3.635365193868351,-1.0,1,41,1109
311,Jameco McKenzie,College of Education,5.0,1.0,3.8300000000000005,100.0,1,2,59
312,Amanda Hall,College of Education,1.3,3.5,3.5724545454545455,0.0,4,5,110
313,Kerri Parker,College of Education,2.0,4.0,3.6,0.0,1,1,25
314,Amato Nocera,College of Humanities and Social Sciences,2.0,3.0,3.536206896551724,0.0,1,3,58
315,Jeffrey Greiner,College of Education,4.0,3.0,3.4,100.0,1,1,15
316,Stephen Day,College of Education,1.8,4.3,3.5126016260162607,-1.0,4,6,123
317,Natalie Ames,College of Humanities and Social Sciences,4.7,3.3,3.472922535211268,83.3333,9,49,852
318,Megan Ryals,College of Sciences,1.7,4.6,2.981861386138614,0.0,11,27,505
319,Andrew Jackl,College of Education,4.8,3.0,3.8326153846153845,100.0,4,3,65
320,Patricia Marshall,College of Education,2.6,4.0,2.93,33.3333,8,1,14
321,Candy Beal,College of Education,4.8,2.8,3.727662601626016,100.0,8,30,492
322,Douglus Cullinan,College of Education,5.0,5.0,3.1318072289156627,-1.0,1,5,83
323,Lynne Brock,College of Education,2.0,3.0,3.452762430939227,-1.0,1,9,181
324,Karen Tharrington,College of Humanities and Social Sciences,3.1,3.9,2.264833413809754,50.0,17,78,2071
325,Amanda Beller,College of Education,5.0,2.0,3.7077581521739136,100.0,2,33,736
326,Keith Martin,Poole College of Management,4.3,1.0,3.66420814479638,100.0,3,9,442
327,Samantha Duke,College of Humanities and Social Sciences,4.0,3.0,3.348787878787879,100.0,1,3,66
328,Whitney White,College of Education,5.0,3.0,3.95,100.0,1,1,20
329,Tremaine Brittian,College of Education,5.0,2.0,3.350211416490486,100.0,1,14,473
330,Erin Horne,College of Education,3.0,3.3,3.708760233918129,50.0,3,43,855
331,Laura Jacobson,College of Humanities and Social Sciences,1.0,5.0,3.353715596330275,-1.0,1,12,218
332,Arine Lowery,College of Education,2.5,3.0,3.88055737704918,50.0,2,13,305
333,Ashley Atkinson,College of Education,2.0,4.0,3.6124193548387096,0.0,1,6,124
334,Charlotte Roberts,College of Education,4.8,2.6,3.8274063400576366,92.8571,14,17,347
335,John Nietfeld,College of Education,3.7,3.0,3.0176190476190476,50.0,6,11,462
336,Vandna Bindra,College of Education,3.8,2.5,3.594803149606299,75.0,4,8,254
337,Joanna Ali,College of Education,4.0,2.0,3.776578947368421,100.0,1,3,76
338,Samira Syal,College of Humanities and Social Sciences,5.0,3.0,3.315408163265306,100.0,1,4,98
339,Jason Wornoff,College of Education,1.5,1.0,3.7196969696969697,0.0,2,11,297
340,Elena Vladimirova,College of Humanities and Social Sciences,1.0,4.0,2.9751184834123223,0.0,1,9,211
341,Marcus Green,College of Humanities and Social Sciences,4.0,2.0,3.874968944099379,-1.0,2,7,161
342,Margareta Thomson,College of Education,3.7,1.0,3.8851201923076926,66.6667,3,16,416
343,Jason Osborne,College of Sciences,2.7,4.1,3.166481069042317,44.4444,12,14,898
344,Sarah Carrier,College of Education,1.5,4.0,3.6828299120234607,0.0,2,26,682
345,Anna Howard,College of Engineering,2.4,4.5,2.477064458738197,26.7974,201,115,7307
346,Laura Bottomley,College of Engineering,4.5,1.3,3.7876932118718774,96.0,40,64,3403
347,Mark White,College of Engineering,1.8,2.5,4.0,-1.0,2,2,43
348,Tamara Young,College of Education,5.0,3.0,3.619752808988765,-1.0,5,21,445
349,Peter Hessling,College of Education,4.4,2.3,3.445216627634659,66.6667,4,88,1708
350,Paul Bitting,College of Education,3.3,2.0,3.82,-1.0,2,1,28
351,Shannon Pratt,College of Agriculture and Life Sciences,4.3,3.0,3.321277173913043,77.2727,33,15,368
352,Penny Jeffrey,College of Education,3.0,2.0,3.525903614457831,100.0,1,12,166
353,Kristina Martin,College of Sciences,3.8,3.2,2.7593599999999996,100.0,4,5,250
354,Joe Busby,College of Education,4.5,2.0,3.727679782903663,-1.0,1,39,737
355,Tameshia Baldwin,College of Engineering,3.5,2.1,3.4861088248742576,75.0,16,42,2187
356,Tamecia Jones,College of Education,1.0,4.0,3.1473500000000003,0.0,1,10,200
357,Matthew Watson,College of Humanities and Social Sciences,4.3,2.2,3.3960727969348654,-1.0,6,15,522
358,Deidre Kelly,College of Education,5.0,3.0,3.491693548387097,100.0,1,6,124
359,Naji Husseini,College of Engineering,4.9,3.4,3.0570866666666667,93.3333,36,25,1500
360,Thomas Labean,College of Engineering,3.6,2.9,3.0930876330876327,87.5,13,24,1221
361,Roger Narayan,College of Engineering,4.0,1.0,3.866139130434782,49.5,2,11,575
362,Hailey Queen,College of Engineering,4.4,1.6,3.750509493670885,88.8889,36,45,3160
363,Zhen GU,College of Engineering,4.8,2.0,3.620552763819095,-1.0,3,5,199
364,Gregory  McCarthy,College of Sciences,3.2,2.4,2.863965571205008,50.0,10,38,3195
365,Nitin Sharma,College of Engineering,2.7,3.0,3.573598820058997,57.1429,7,5,339
366,Silvia Ceballos,College of Engineering,5.0,2.0,3.6890134529147987,100.0,2,4,223
367,Olgha Qaqish,College of Engineering,4.4,1.3,3.8563182346109177,100.0,16,12,861
368,Mike Stanko,Poole College of Management,4.4,3.0,3.79039024390244,66.6667,8,10,410
369,Lianne Cartee,College of Engineering,2.3,4.5,3.593865594485928,25.0,8,40,1741
370,David Zaharoff,College of Engineering,4.5,3.5,3.219766355140187,100.0,2,8,214
371,Edward Grant,College of Engineering,4.2,1.8,3.712128603104213,-1.0,5,22,451
372,Michael Daniele,College of Engineering,4.0,3.0,3.5011060948081263,75.0,4,21,443
373,Jacqueline Cole,College of Engineering,4.5,4.0,3.3960074626865664,-1.0,1,12,268
374,Hechmi Hamouda,College of Engineering,1.0,5.0,3.171365461847388,0.0,2,56,1743
375,David Parish,College of Engineering,4.4,1.8,3.203239664082688,100.0,13,51,3096
376,Taylor Brodbeck,College of Engineering,4.6,3.4,2.74,85.7143,7,1,81
377,Steven Welton,College of Engineering,4.2,4.0,2.4927673343605554,88.8889,31,68,3245
378,Murthy Guddati,College of Engineering,1.6,4.7,1.8636969696969696,8.6957,26,14,990
379,Tasnim Hassan,College of Engineering,3.6,3.7,2.1503033175355446,86.6667,17,15,1055
380,Rudi Seracino,College of Engineering,3.6,4.1,2.1085358490566035,69.2308,13,21,1325
381,Arjun Jayaprakash,College of Engineering,5.0,3.0,2.5088235294117647,100.0,1,2,85
382,Kelly Flanagan,College of Engineering,4.0,4.0,2.384444444444444,100.0,1,10,495
383,MacHel Morrison,College of Engineering,4.2,3.8,2.03265664160401,75.0,8,8,399
384,Moe Pourghaz,College of Engineering,5.0,3.0,2.2937966101694913,100.0,1,14,885
385,Mehmet Ulker,College of Engineering,1.4,4.8,1.8668771929824564,3.4483,29,5,285
386,Akhtarhusein Tayebali,College of Engineering,4.2,3.8,2.181237333333333,50.0,5,32,1875
387,Siddharth Savadatti,College of Engineering,4.6,3.8,1.9620289855072464,-1.0,4,11,414
388,Harleen Sandhu,College of Engineering,4.4,1.6,3.209803921568627,100.0,5,4,204
389,Andrew Ziccarelli,College of Engineering,4.3,3.3,2.7109770114942533,66.6667,3,3,174
390,Nehemiah Mabry,College of Engineering,2.0,3.0,2.547266666666667,0.0,1,5,150
391,Jonathan Miller,College of Engineering,3.6,3.2,2.8953272450532728,78.5714,14,25,1314
392,Alex Albert,College of Engineering,5.0,1.7,3.1255656697009107,100.0,3,14,769
393,Benjamin Smith,College of Engineering,2.0,4.0,2.47096,0.0,1,7,500
394,Tarek Aziz,College of Engineering,3.8,3.9,2.564940225035162,77.7778,14,82,2844
395,Casey  Dietrich,College of Engineering,3.8,3.7,2.1787020648967554,77.7778,10,11,678
396,Kumar Mahinthakumar,College of Engineering,2.0,4.5,2.119369658119658,50.0,2,15,936
397,Fernando Menendez,College of Engineering,3.0,5.0,2.2827777777777776,50.0,2,11,432
398,Jorge Pesantez,College of Engineering,4.5,4.0,2.792105263157895,100.0,2,2,114
399,Joel Ducoste,College of Engineering,4.0,4.0,2.5604056795131847,100.0,1,13,493
400,Michael Leming,College of Engineering,2.0,3.7,2.67698224852071,100.0,3,15,507
401,William Rasdorf,College of Engineering,1.4,3.6,2.725956325301205,0.0,8,31,1328
402,Daniel Findley,College of Engineering,3.2,3.0,3.112947368421053,50.0,8,23,1045
403,George List,College of Engineering,4.3,1.5,3.350887404580153,100.0,6,21,1048
404,James Nau,College of Engineering,5.0,2.7,2.1413151041666665,100.0,6,12,768
405,Aston Patrick,College of Humanities and Social Sciences,4.0,2.3,3.150706766917293,75.0,4,16,665
406,Giorgio Proestos,College of Engineering,4.0,3.7,2.5005839416058397,66.6667,3,5,274
407,Sami Rizkalla,College of Engineering,5.0,3.0,2.940977443609023,100.0,2,9,532
408,Cassie Castorena,College of Engineering,4.3,2.3,2.676161335187761,100.0,3,13,719
409,Pegah Ghasemi,College of Engineering,1.5,4.3,3.023061224489796,12.5,8,2,147
410,Brina Montoya,College of Engineering,5.0,3.0,2.832236220472441,100.0,1,14,635
411,Kevin Han,College of Engineering,4.7,3.3,3.0054585152838427,66.6667,3,9,458
412,Andrew Grieshop,College of Engineering,1.3,4.7,2.5160037878787884,33.3333,3,11,528
413,Douglas Walls,College of Humanities and Social Sciences,1.0,5.0,2.8079687499999997,0.0,1,18,640
414,Xinyu Zhang,College of Engineering,4.0,3.0,2.81,100.0,1,1,16
415,Jason Patskoski,College of Engineering,5.0,3.0,2.572835820895522,100.0,1,3,134
416,Russell Briggs,College of Engineering,2.0,5.0,2.9398839907192578,0.0,1,13,431
417,Sankarasubramanian Arumugam,College of Engineering,1.5,5.0,2.6002372034956305,0.0,2,13,801
418,Dan Obenour,College of Engineering,4.0,4.0,2.619290465631929,100.0,2,8,451
419,Robert Oden,College of Engineering,3.0,4.0,2.9632773109243695,100.0,1,10,238
420,Eleni Bardaka,College of Engineering,1.5,4.0,2.3620746887966804,0.0,2,7,241
421,Roberto Nunez,College of Engineering,1.0,4.0,3.095996592844975,0.0,2,29,587
422,Katherine Anarde,College of Engineering,5.0,3.0,3.3669369369369373,100.0,1,3,222
423,Angela Harris,College of Engineering,2.8,3.7,3.2849999999999997,66.6667,6,2,28
424,Hassan Golpour,College of Engineering,4.9,2.3,3.5517821782178225,100.0,7,42,1212
425,Artem  Rumyantsev,College of Engineering,4.0,4.0,2.9033783783783784,100.0,3,2,74
426,Leah Granger,College of Engineering,5.0,3.0,3.1660851063829787,100.0,5,6,235
427,Lisa Bullard,College of Engineering,4.1,3.4,3.518841131664854,87.5,25,86,3676
428,Milad Abolhasani,College of Engineering,4.0,3.6,2.897836411609499,87.5,8,9,379
429,Qingshan Wei,College of Engineering,4.9,2.5,3.400753564154786,100.0,13,11,491
430,Wentao Tang,College of Engineering,1.0,5.0,2.5577894736842106,0.0,4,3,95
431,Michael Dickey,College of Engineering,4.6,4.0,2.648039895923677,88.8889,9,25,1153
432,Lilian Hsiao,College of Engineering,3.1,2.9,3.0605805243445685,57.1429,7,16,534
433,Adriana San Miguel,College of Engineering,4.0,3.7,2.896412478336221,100.0,3,12,577
434,Nathan Crook,College of Engineering,4.7,3.5,3.487371601208459,100.0,6,14,331
435,Erik Santiso,College of Engineering,3.9,3.7,3.0602292768959436,80.0,11,13,567
436,Stefano Menegatti,College of Engineering,4.3,2.5,3.323051643192488,100.0,4,7,213
437,Albert Keung,College of Engineering,4.5,3.0,3.355918674698795,100.0,2,11,664
438,Matthew Cooper,College of Engineering,5.0,2.4,3.347766463000679,100.0,5,81,2946
439,Gregory Reeves,College of Engineering,4.3,3.3,3.095085551330799,100.0,3,12,1052
440,Fanxing LI,College of Engineering,2.4,3.8,3.08297699594046,50.0,4,12,739
441,Jan Genzer,College of Engineering,4.4,2.9,3.342206303724928,66.6667,8,12,698
442,Phooi Lim,College of Engineering,2.1,4.0,2.7705761904761896,50.0,20,69,2100
443,Balaji Rao,College of Engineering,1.5,3.0,2.873476454293629,0.0,2,12,722
444,Kirill Efimenko,College of Engineering,3.7,4.1,3.018234567901234,77.7778,11,20,810
445,Saad Khan,College of Engineering,4.4,3.9,3.3189489489489485,100.0,7,21,999
446,Peter Fedkiw,College of Engineering,3.7,3.3,3.002857142857143,0.0,3,2,63
447,Phil Westmoreland,College of Engineering,1.7,4.5,2.922455968688845,0.0,6,20,1022
448,Gregory Parsons,College of Engineering,4.0,3.2,3.08177245508982,80.0,5,15,835
449,Luke Neal,College of Engineering,1.0,3.0,3.0810588235294114,0.0,1,3,85
450,Orlin Velev,College of Engineering,4.5,3.4,3.3515892997639654,100.0,13,23,1271
451,Carol Hall,College of Engineering,2.3,4.2,2.6781085154483795,33.3333,11,27,1327
452,Keith Gubbins,College of Engineering,3.5,3.5,2.9999315068493146,100.0,2,5,146
453,Richard Spontak,College of Engineering,2.8,4.0,2.760215605749487,75.0,20,21,974
454,Jason Haugh,College of Engineering,2.0,4.2,3.3139268292682926,20.0,13,10,410
455,Warren Jasper,College of Engineering,1.0,5.0,2.978714285714287,0.0,3,37,980
456,Charles Rutter,College of Engineering,2.3,4.0,3.64,33.3333,3,1,11
457,Matthias Stallmann,College of Engineering,2.2,3.7,2.820531227566403,0.0,23,23,1393
458,Thomas Price,College of Engineering,4.0,3.4,3.053123732251521,76.4706,17,8,493
459,Bita Akram,College of Engineering,2.0,3.4,2.8518537859007838,17.6471,17,8,383
460,Tiffany Barnes,College of Engineering,3.6,2.5,3.2445364402578085,76.4706,31,15,2017
461,Shuyin Jiao,College of Engineering,2.2,3.3,2.788246139663517,28.9474,38,27,8678
462,Adam Gaweda,College of Engineering,4.8,2.3,3.4221874999999997,100.0,23,19,1184
463,David Wright,College of Engineering,1.7,3.4,3.1151752636078647,11.1111,58,38,3509
464,Toniann Marini,College of Engineering,1.7,2.9,2.758204891858966,26.3158,48,733,30377
465,Robert Rodman,College of Engineering,2.0,3.2,2.576923560868198,100.0,34,20,3179
466,Lina Battestilli,College of Engineering,3.6,2.9,3.3351439964554723,75.0,45,52,4514
467,Vincent Freeh,College of Engineering,3.7,3.2,3.0722342733188714,50.0,10,14,922
468,Martin Dulberg,College of Engineering,4.2,2.3,2.825823170731707,-1.0,3,10,328
469,Sarah Heckman,College of Engineering,3.8,3.4,3.0548840625327878,93.617,78,198,9531
470,Suzanne Balik,College of Engineering,2.4,3.1,2.7812612150730573,27.2727,67,91,3901
471,Sterling Mcleod,College of Engineering,3.7,3.3,3.0253889334402566,84.6154,13,22,1247
472,Jessica Schmidt,College of Engineering,2.8,3.9,2.6843562978427284,39.4366,80,55,2874
473,Okan Pala,College of Engineering,2.1,3.7,2.445760869565217,25.0,16,14,460
474,Michelle Glatz,College of Engineering,3.4,3.5,2.825757874015748,54.5455,11,26,1016
475,Abida  Haque,College of Engineering,1.3,4.3,2.6552777777777776,3.8462,26,5,180
476,Noboru Matsuda,College of Engineering,4.0,2.5,2.5687046632124355,75.0,8,5,193
477,Jason King,College of Engineering,3.4,4.0,2.6479225082844766,70.6897,59,64,3923
478,Ozcan Ozturk,College of Engineering,2.5,4.3,2.085,25.0,4,2,60
479,David Sturgill,College of Engineering,3.3,4.2,2.5834098236298124,55.5556,78,87,5273
480,Dennis Bahler,College of Engineering,1.6,4.3,2.7676800000000004,33.3333,18,12,750
481,Trisha Biswas,College of Engineering,5.0,1.5,2.96,-1.0,2,1,28
482,Carolyn Miller,College of Engineering,2.6,3.2,2.9654545454545453,-1.0,6,5,143
483,Dana Lasher,College of Engineering,4.8,2.6,3.158334483551874,100.0,42,80,4347
484,Khaled Harfoush,College of Engineering,3.1,2.5,3.2398676293622146,54.5455,11,23,831
485,James Tetterton,College of Engineering,2.3,4.5,2.4409900990099014,-1.0,2,23,707
486,Matthew Zahn,College of Engineering,5.0,2.0,2.636551724137931,100.0,4,2,116
487,Ignacio Dominguez,College of Engineering,3.3,2.9,3.3090768094534715,76.9231,13,18,1354
488,Kristy Boyer,College of Engineering,2.9,3.2,2.302300884955752,0.0,4,6,339
489,Ed Gehringer,College of Engineering,2.6,3.9,2.772140992167102,45.4545,39,8,383
490,Alan Watkins,College of Engineering,2.5,3.8,2.868674057649669,27.2727,19,94,2255
491,Alexander Card,College of Engineering,4.6,3.0,3.421091251175917,92.0,25,11,1063
492,Mark Abdelshiheed,College of Engineering,5.0,3.7,3.5166666666666666,100.0,3,2,39
493,Alessandra Scafuro,College of Engineering,4.8,3.2,2.985589887640449,100.0,5,15,712
494,Jamie Jennings,College of Engineering,4.8,2.5,3.307039652362846,96.7742,31,24,1841
495,Donald Bitzer,College of Engineering,2.8,2.9,3.0448377581120942,0.0,8,9,1017
496,Behrooz Mostafavi,College of Engineering,3.0,1.0,3.02,0.0,1,1,105
497,Vida Sullivan,College of Engineering,3.6,3.0,2.836979405034325,100.0,3,10,437
498,Tianyu Wu,College of Engineering,1.0,5.0,2.503253012048193,0.0,1,3,83
499,Douglas Reeves,College of Engineering,4.5,1.0,2.458502673796792,-1.0,1,8,374
500,William Enck,College of Engineering,4.6,3.6,2.9669123783031988,92.8571,15,12,719
501,Julio Bahamon,College of Engineering,2.9,3.4,3.3372131147540984,20.0,14,5,427
502,Benjamin Watson,College of Engineering,2.5,3.0,3.1105222437137323,40.0,16,22,1034
503,Hung-Wei Tseng,College of Engineering,2.8,3.5,3.5758333333333336,50.0,4,3,120
504,Guoliang Jin,College of Engineering,2.9,4.2,3.0294758909853248,50.0,12,6,477
505,Frank Mueller,College of Engineering,3.3,3.8,2.6699999999999995,20.0,11,1,98
506,Christopher Healey,College of Engineering,4.0,2.0,2.9876884422110552,100.0,1,5,199
507,Aldo Dagnino,College of Engineering,3.3,2.5,3.0,-1.0,2,1,9
508,Arnav Jhala,College of Engineering,2.9,2.7,3.7877029914529916,38.4615,13,16,936
509,Chris Martens,College of Engineering,5.0,1.0,2.979444444444445,100.0,1,3,270
510,Samuel Carter,College of Engineering,5.0,3.0,3.070167714884696,100.0,2,11,477
511,Injong Rhee,College of Engineering,4.0,3.8,2.8163492063492064,0.0,34,8,126
